"","startq","allP","test1"
"1","0.01",16.6,13.64
"2","0.01",13.59,13.84
"3","0.01",18.5,14.21
"4","0.05",14.47,12.88
"5","0.05",10.92,13.05
"6","0.05",15.87,13.19
"7","0.10",14.28,12.48
"8","0.10",12.8,11.6
"9","0.10",14.52,12.1
"10","0.50",11.57,10.36
"11","0.50",11.27,10.67
"12","0.50",11.73,10.35
"13","1.00",12.25,10.96
"14","1.00",11.49,10.8
"15","1.00",10.79,10.84
"16","5.00",10.1,NA
