"","plateID","reaction_type","sampleID","starting_quantity","cpD1","Cycle_number","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","2018_6_1_plate","test1","gblock+IRE_plus18IRE","100",7.58,"A16","3605.08926","3575.640088","3569.480212","3561.394818","3563.973897","3560.548488","3560.898781","3561.743129","3570.980901","3576.582268","3603.985812","3646.936112","3707.363768","3795.445424","3900.315558","4005.309714","4116.615989","4218.195671","4306.641713","4399.395255","4476.24638","4562.129025","4625.878843","4690.506261","4743.516742","4790.946853","4839.028647","4878.480981","4909.904827","4937.802944","4960.585326","4979.874474","5005.656745","5018.79316","5035.497838","5052.293806","5059.833684","5063.726913","5074.336242","5083.397535"
"2","2018_6_1_plate","test1","gblock+IRE_plus18IRE","100",7.01,"A17","3538.695429","3512.574148","3507.039304","3502.625778","3502.683804","3503.41946","3503.738223","3503.724922","3507.479593","3522.313782","3539.657164","3575.252119","3635.591324","3716.182912","3806.593865","3901.908794","4000.363418","4097.966878","4188.075824","4264.361828","4338.298974","4412.535228","4474.001696","4533.194576","4584.016186","4628.587747","4673.001715","4705.687796","4734.850731","4765.834516","4792.555206","4809.087246","4833.254368","4841.906952","4859.208194","4867.113178","4884.049077","4899.594338","4903.917263","4913.998995"
"3","2018_6_1_plate","test1","gblock+IRE_plus18IRE","100",7.06,"A18","3529.885246","3499.879339","3493.270884","3491.079093","3490.258475","3489.504053","3490.023986","3492.395014","3497.358162","3508.621388","3531.83345","3558.600563","3622.319089","3702.211277","3799.500539","3896.086335","3995.156279","4088.920455","4175.340975","4259.651143","4336.438858","4403.705589","4469.195803","4528.215808","4582.272561","4621.718597","4666.868848","4700.705202","4730.694218","4762.079407","4780.556065","4803.194573","4825.073601","4842.575923","4851.774756","4866.937634","4882.724216","4888.282593","4901.180247","4913.423032"
"4","2018_6_1_plate","all_products","gblock+IRE_plus18IRE","100",7.23,"A19","3574.416578","3556.93336","3547.412415","3546.410198","3542.379488","3541.67315","3539.81215","3539.813764","3541.062078","3555.545781","3569.686238","3590.221989","3631.430452","3692.60385","3769.204297","3857.514105","3950.460649","4050.819266","4136.574745","4223.96394","4303.280449","4391.189011","4455.188818","4519.888882","4587.203492","4636.770831","4682.308666","4726.155375","4765.120031","4803.60345","4836.398091","4863.730999","4892.628928","4918.670455","4936.40286","4950.536886","4970.013533","4987.275201","5004.250706","5012.375084"
"5","2018_6_1_plate","all_products","gblock+IRE_plus18IRE","100",7.49,"A20","3471.0459","3448.964651","3443.227697","3440.419618","3440.979527","3439.493675","3446.070813","3443.290989","3442.732662","3452.142239","3464.704983","3486.26121","3524.025774","3585.337459","3656.793728","3740.249847","3829.266333","3915.529367","3993.937358","4079.883587","4153.004924","4227.683824","4291.554765","4349.18532","4405.358661","4453.975306","4504.734354","4547.911115","4581.084365","4618.529212","4650.539631","4673.921767","4695.737245","4725.511953","4733.065155","4756.177572","4772.128594","4785.988426","4799.122637","4816.432563"
"6","2018_6_1_plate","all_products","gblock+IRE_plus18IRE","100",8.08,"A21","3612.723398","3591.509214","3594.852898","3591.779557","3589.781968","3590.575141","3592.131931","3590.746264","3599.668618","3611.189308","3626.956551","3654.739229","3700.877013","3772.749241","3862.193638","3961.975538","4072.811253","4181.511547","4283.75915","4388.289143","4468.426671","4572.268409","4653.516177","4726.836487","4797.879949","4857.518975","4921.390209","4970.401491","5014.93109","5057.605962","5095.811831","5125.489848","5160.017038","5185.565603","5209.667501","5233.458786","5249.347365","5269.095557","5286.24916","5302.760375"
"7","2018_6_1_plate","all_products","gblock_minusIRE_onlyExonnoIRE","100",7.63,"A22","3660.637358","3634.584461","3634.481218","3637.765858","3635.441161","3639.369227","3643.960143","3649.637763","3658.310843","3673.856093","3703.015315","3746.971925","3823.446992","3920.271067","4036.284109","4149.768866","4268.720831","4389.833076","4495.307996","4603.404452","4693.357243","4793.087891","4873.546621","4943.063432","5016.684562","5078.635662","5132.962693","5178.845261","5226.378759","5266.899159","5294.871191","5326.984453","5358.609628","5385.676082","5404.700722","5438.123131","5447.981958","5464.263858","5477.763441","5499.172229"
"8","2018_6_1_plate","all_products","gblock_minusIRE_onlyExonnoIRE","100",9.33,"A23","3673.635466","3638.190275","3643.998102","3640.408132","3645.220322","3641.99782","3648.667741","3648.323527","3657.165054","3668.501698","3696.696505","3749.25953","3811.731362","3907.624479","4013.619154","4128.04217","4237.452548","4348.700662","4453.358555","4558.210211","4651.484066","4736.440028","4819.439469","4890.784454","4952.836265","5023.489049","5080.975834","5124.289754","5167.313962","5208.336785","5239.942398","5276.207109","5306.752142","5332.981307","5352.200723","5375.286828","5399.046483","5414.912047","5422.398348","5444.649346"
"9","2018_6_1_plate","all_products","gblock_minusIRE_onlyExonnoIRE","100",6.75,"A24","3585.407507","3558.010831","3566.814532","3571.640218","3572.912841","3573.601613","3573.391519","3580.05862","3586.594327","3605.428824","3629.038614","3675.078925","3749.106226","3833.975275","3943.484967","4052.496488","4157.945565","4264.422638","4362.997141","4468.862075","4554.352267","4639.814948","4712.548735","4782.84672","4855.636733","4915.101842","4969.959648","5020.055614","5068.186204","5106.749421","5149.673797","5183.060799","5214.929067","5244.995785","5265.083386","5289.040444","5305.510638","5320.332127","5336.789005","5353.715705"
"10","2018_6_1_plate","all_products","233_A_1653","NaN",1,"B4","3627.685369","3584.988231","3582.6643","3579.214179","3578.016801","3576.65299","3567.444329","3566.70942","3562.65694","3569.489676","3568.988135","3565.638437","3566.060093","3567.050327","3566.848417","3566.598146","3566.228869","3569.478877","3570.663693","3566.034377","3565.275706","3569.387076","3566.161626","3559.064613","3566.04912","3558.475678","3564.510299","3572.155664","3569.675418","3568.063795","3569.093209","3576.498894","3582.311761","3598.315411","3620.279173","3657.570298","3715.804706","3779.476114","3850.463084","3922.080105"
"11","2018_6_1_plate","all_products","221_A_1509","NaN",1,"B11","3734.423083","3677.097109","3673.791326","3665.587427","3662.11358","3663.49958","3664.128778","3660.581305","3659.002753","3662.748083","3656.77239","3653.425376","3660.244112","3660.505767","3657.009364","3660.364026","3657.31847","3659.619308","3658.206917","3660.393474","3657.898767","3659.454153","3658.136849","3661.972462","3658.37827","3659.907786","3661.564549","3659.687071","3659.09706","3659.44953","3656.364825","3657.3035","3660.801033","3667.503468","3673.155159","3681.811217","3696.694777","3724.744423","3773.655722","3833.903796"
"12","2018_6_1_plate","test1","gblock+IRE_plus18IRE","50",6.75,"C16","3487.322657","3449.296348","3445.700397","3444.446473","3438.209167","3439.654087","3437.253669","3440.231962","3442.895171","3440.499825","3458.435912","3474.641698","3509.56402","3563.415064","3644.12586","3733.528392","3832.838238","3923.626092","4024.064369","4113.830934","4189.284263","4264.749873","4333.630737","4399.006692","4456.272176","4507.126501","4555.720419","4589.587279","4625.919142","4655.647936","4684.299682","4701.984433","4730.244766","4746.339721","4759.161801","4770.673559","4785.35351","4802.13965","4811.30205","4818.666201"
"13","2018_6_1_plate","test1","gblock+IRE_plus18IRE","50",7.13,"C17","3514.972334","3479.549008","3476.646481","3475.756873","3471.79448","3467.35947","3468.558321","3468.48415","3471.576481","3474.891354","3483.339157","3501.204022","3542.507854","3598.8814","3677.796133","3767.869176","3874.242811","3974.605221","4074.506076","4169.088748","4251.756949","4335.8166","4406.839594","4470.502048","4530.099508","4588.544295","4638.900098","4684.117544","4717.432228","4753.831135","4783.038687","4802.65798","4823.579861","4844.713094","4857.732194","4877.523129","4894.925949","4907.311807","4916.371475","4928.270109"
"14","2018_6_1_plate","test1","gblock+IRE_plus18IRE","50",7.35,"C18","3558.74558","3519.858873","3513.171146","3513.70667","3508.735859","3507.747762","3509.406599","3509.185678","3507.816532","3511.3985","3523.35442","3543.770785","3588.220154","3651.539561","3730.012869","3832.46905","3941.266496","4049.415317","4154.96196","4248.900053","4340.702241","4422.883614","4502.93459","4568.333409","4629.983016","4686.822673","4739.295218","4791.792842","4820.940797","4862.160958","4888.202627","4918.861127","4934.515125","4961.094715","4974.32306","4992.753366","5010.568204","5020.360122","5034.075086","5047.917629"
"15","2018_6_1_plate","all_products","gblock+IRE_plus18IRE","50",7.98,"C19","3418.776964","3385.354987","3382.155836","3376.842229","3375.503422","3375.592508","3373.803271","3371.148028","3377.722936","3378.221746","3384.074173","3398.44423","3417.545146","3450.362985","3505.241233","3571.212218","3654.019624","3742.404898","3823.281181","3908.485925","3991.219401","4066.698157","4134.329209","4203.93126","4262.167061","4318.665131","4372.355849","4419.462499","4457.710513","4493.749688","4524.399","4552.911294","4580.342655","4604.839353","4624.450519","4643.754804","4660.771682","4677.93058","4693.117897","4709.243873"
