"","routv.result.loc.name.keep.","routv.result.pos.keep.","routv.result.mQTL.lod.keep.","routv.result.mQTL.asymp.p.keep.","routv.result.vQTL.lod.keep.","routv.result.vQTL.asymp.p.keep.","routv.result.mvQTL.lod.keep.","routv.result.mvQTL.asymp.p.keep.","routv.result..m__est__.Intercept...keep.","routv.result.m__est__plotstructure.keep.","routv.result..m__se__.Intercept...keep.","routv.result.m__se__plotstructure.keep.","routv.result..v__est__.Intercept...keep.","routv.result.v__est__plotstructure.keep.","routv.result..v__se__.Intercept...keep.","routv.result.v__se__plotstructure.keep."
"2004","sbp3",4358.76,0.295293323825714,0.990115974077729,2.48495977488581,0.647330988344335,2.77646561691476,0.947592888239359,60.5267752136439,0.910409077099359,1.5386951717993,1.01599445721607,5.37422243525098,-0.0862212139559273,0.229972535707329,0.153970586447107
"2005","IDP587",4359.42,1.0790862721505,0.897576048459627,2.7547122992253,0.599675177675646,3.18918564741704,0.921930008699999,61.2053032952133,-0.120240079486065,1.53230494935308,1.02931762553616,5.21014887384088,0.0708897389670305,0.245430579588634,0.163220285175294
"2006","IDP2428",4360.11,1.27090651668966,0.86629197801312,2.89506741503459,0.575536378996359,3.46007320275918,0.902266178756366,61.1481048742778,-0.0629987485742192,1.52874725605188,1.02379902186167,5.22400020961783,0.0572955574399837,0.247910266635739,0.164526117316004
"2007","gpm809a",4362.33,0.0167984178995101,0.999964923535984,0.970951209609943,0.914168279505073,0.988166750438614,0.998322040058734,61.9908218928365,-0.750821868553525,1.5160815518922,1.03332008515378,5.1534155600679,0.105471364326053,0.225013068476709,0.150726995057405
"2008","gpm661b",4362.89,0.01414235183542,0.999975116780175,0.93821389422455,0.919015537406245,0.951552284941569,0.998536324876221,62.0300088714875,-0.771307962473208,1.51502255241364,1.03295294751488,5.14834739497442,0.108084128185196,0.224782821485728,0.150566733905088
"2009","IDP133",4365.67,1.26402015815079,0.867449790997742,2.39437831596988,0.663643434496732,2.8816417120595,0.94156401697508,62.2851673793463,-1.02253541421269,1.53082150880476,1.05641896787426,5.11401581463025,0.142298197071656,0.227753073798254,0.153708016270318
"2010","IDP392",4367.47,1.22122998507989,0.874591023560013,2.35069567240076,0.671555067448494,2.98102223473393,0.935542845737818,63.1332607676576,-1.12600512915409,1.52922289717035,1.05715384414056,5.08181992993958,0.132366875138294,0.244080380447556,0.165396733046146
"2011","IDP1474",4369.19,1.4005164224165,0.844105254757017,2.37943785268718,0.666346325802248,3.3396138644058,0.911274619763836,64.1898071035442,-1.78123750856191,1.5855297191044,1.08146404353231,5.0998492977181,0.118902907483414,0.247024742036116,0.165635812352467
"2012","umc1887",4371.86,2.29809260990622,0.681116346881846,0.62893975985709,0.959794165244748,4.33946493141041,0.825270993106688,64.1177054221508,-1.70786036259603,1.57191018751074,1.06169482772051,5.13310097050703,0.0850462024025784,0.250786842191901,0.167041873060504
"2013","gpm138a",4372.15,2.03485223022852,0.729348494496723,0.449888083462888,0.978192420817913,3.66579871348241,0.885948143548212,64.3066222798908,-1.84482658971887,1.57423683204096,1.06336235433446,5.13663874577598,0.0828993295980682,0.273830722405127,0.182411442418794
"2014","AY104775",4372.66,1.4579049488719,0.834070994100545,2.57377042281293,0.631476538814779,3.49543073872542,0.899543980864479,64.140879316593,-1.66218906207003,1.59189897541264,1.08942604169865,5.10032022958615,0.119031793422631,0.254668944118515,0.170924563840787
"2015","gpm137b",4372.67,3.5625680984005,0.468428717231253,0.580702077587866,0.965183795285328,4.23265492026264,0.835546041994512,62.8671991346285,-0.388539508870955,1.60678008598147,1.11105461972008,5.18435064531154,0.0350080803476945,0.278203706483272,0.191019692350847
"2016","AY111964",4376.27,1.76372139661354,0.779112616738013,0.440736776248256,0.979007850604549,2.47254956333809,0.962998708150828,64.4078568281189,-1.87248177027101,1.58761180718288,1.07453184516296,5.14152717698513,0.0885278445284178,0.269713787930689,0.179976057406305
"2017","gpm486a",4376.84,1.56391164108941,0.815263191216004,1.18621605430256,0.880362799009891,2.70229947658837,0.951629700945629,64.0988919322972,-1.41904210125373,1.59050345921954,1.08053319399667,5.17165164829034,0.0460146142166729,0.247979805226913,0.166857387187688
"2018","umc65a",4386.97,0.681024802835781,0.953648168736629,1.00149590029627,0.909569077456213,1.62499708356139,0.990432642476864,64.0578897574349,-1.93943997780587,1.61903342812984,1.07945732448392,5.10056108004179,0.0964114852637038,0.250663219526513,0.164727591591033
"2019","gpm363c",4387.78,7.47433709854213,0.112846256962317,0.237622362282399,0.993476863655605,7.89347837224738,0.443944161551401,61.6426211509386,0.337159972995944,1.66104176150169,1.13995097944818,5.14649120856904,0.0650230266275434,0.256593812215134,0.173969768596948
"2020","umc1796",4394.57,2.78802781924462,0.593901087822908,0.5072333814848,0.972792999024611,3.34743920788077,0.910702075834604,64.2302724286579,-1.75566703008832,1.57281468788994,1.06178243286903,5.13541193117718,0.0839481188321974,0.25857280776319,0.172192494452821
"2021","umc1918",4394.97,1.48984969053735,0.828437933557153,0.620505851060671,0.960757989157192,3.19099310330323,0.921805990360214,64.2388744092707,-1.76432073846344,1.57273218124732,1.06167087718609,5.1359062140096,0.0834284096922839,0.252943146239247,0.168444340950153
"2022","IDP2138",4395.38,1.18486663921697,0.880583887036145,0.586584115770511,0.964542766109068,1.74449374563378,0.987868157047589,64.6033656196975,-1.88437634807385,1.5689366932001,1.06732932145215,5.15030554638187,0.0816172969971157,0.241570027153295,0.162082772007167
"2023","rz476d",4396.37,0.947234237110582,0.917688642504633,1.47911953595622,0.830333631186918,2.48850520077284,0.962264810668512,64.3734927650879,-1.65494932208926,1.57431874343907,1.07519537923081,5.0980959459578,0.133873477730794,0.247051677402459,0.166025932954866
"2024","IDP613",4397.03,3.01460804204319,0.55538376243376,1.33620667914015,0.855203280465751,4.32269484352131,0.826898676812935,66.1788826419332,-2.8356759556209,1.53470264113625,1.04743392089938,5.02943377436261,0.205726349425868,0.227899056796578,0.151767062316221
"2025","gpm390a",4397.34,4.08184254045335,0.395042963634062,1.34290495885974,0.854055172182341,4.61852529026353,0.797461237635386,66.233434456052,-3.14408024844723,1.50277406237161,1.03172044427811,5.06065829368519,0.169863356810695,0.236324853851878,0.158533153499204
