"","startq","allP","test1"
"1"," 0.01",18.05,15.26
"2"," 0.01",14.18,14.66
"3"," 0.01",18.6,16.98
"4"," 0.01",17.22,15.66
"5"," 0.01",17.42,14.31
"6"," 0.01",18.88,16.62
"7"," 0.05",15.89,13.77
"8"," 0.05",14.12,12.98
"9"," 0.05",16.62,14.17
"10"," 0.05",15.22,13.95
"11"," 0.05",14.57,13.15
"12"," 0.05",16.96,14.2
"13"," 0.10",14.51,12.89
"14"," 0.10",13.12,11.98
"15"," 0.10",14.56,12.83
"16"," 0.10",13.96,12.89
"17"," 0.10",13.85,12.43
"18"," 0.10",15.26,12.93
"19"," 0.50",11.71,10.73
"20"," 0.50",11.6,10.58
"21"," 0.50",12.51,11.42
"22"," 0.50",11.35,10.85
"23"," 0.50",12.07,10.15
"24"," 0.50",12.45,10.74
"25"," 1.00",11.76,10.89
"26"," 1.00",11.46,10.92
"27"," 1.00",10.9,10.5
"28"," 1.00",11.73,10.31
"29"," 1.00",11.58,10.99
"30"," 1.00",11.12,NA
"31"," 5.00",10.59,NA
"32","50.00",11.16,NA
