"","sampleID.exp","test1.exp","allP.exp"
"1","101",19.65,25.46
"2","102",18.93,24.47
"3","103",19.11,21.08
"4","104",19.44,18.85
"5","113",20.71,27.84
"6","114",19,22.69
"7","116",18.53,29.31
"8","137",18.49,24.45
"9","138",18.62,20.8
"10","139",18.89,24.9
"11","140",17.53,22.44
"12","149",17.66,24.71
"13","151",21.24,23.6
"14","161",18.69,19.45
"15","162",18.99,13.39
"16","164",18.16,17.32
"17","17",18.52,23.14
"18","173",23.76,23.31
"19","174",20.95,13.59
"20","175",18.7,24.12
"21","176",11.94,19.56
"22","18",19.18,25.56
"23","19",18.22,13.52
"24","197",12.32,12.87
"25","198",16.78,19.38
"26","199",15.31,14.03
"27","200",17.49,21.68
"28","209",20.12,23.55
"29","210",18.11,10.52
"30","211",16.81,19.5
"31","212",15.45,12.64
"32","233",16.72,15.26
"33","234",16.59,23.33
"34","236",17.91,22.5
"35","245",19.07,27.09
"36","246",19.51,27.56
"37","247",18.12,21.06
"38","248",18.45,24.98
"39","257",18.67,25.48
"40","258",18.97,23.58
"41","259",19.04,23.41
"42","260",18.76,17.22
"43","269",18.23,16.54
"44","270",18.84,22.74
"45","271",18.73,17.36
"46","272",18.69,22.1
"47","29",19.32,23.04
"48","30",18.83,26.25
"49","305",19.59,16.58
"50","306",18.63,23.82
"51","307",17.61,22.09
"52","308",18.28,24.69
"53","31",21.57,27.52
"54","317",18.02,22.85
"55","318",18.77,22.85
"56","319",18.92,21.23
"57","32",20.01,28.53
"58","320",18.87,24.42
"59","329",18.31,21.5
"60","330",19.7,23.01
"61","331",18.29,23.81
"62","332",18.95,22.27
"63","341",18.84,21.11
"64","342",17.73,17.03
"65","343",16.92,20.25
"66","344",18.44,23.34
"67","353",19.92,25.99
"68","354",18.8,24.28
"69","355",19.24,23.75
"70","356",18.05,23.81
"71","365",19.22,23.85
"72","366",14.39,22.95
"73","367",18.3,23.71
"74","368",17.68,25.15
"75","377",18.67,24.58
"76","378",18.63,23.67
"77","379",18.62,21.91
"78","380",18,24.46
"79","389",19.75,14.04
"80","390",18.15,19.03
"81","391",18.48,24.1
"82","392",17.87,25.3
"83","401",18.49,22.22
"84","402",18.18,23.42
"85","403",18.36,16.48
"86","404",18.82,15.17
"87","41",18.79,25.48
"88","413",19.54,20.93
"89","414",18.22,14.86
"90","415",16.96,22.41
"91","416",18.24,20.39
"92","42",23.1,37.49
"93","43",19.05,23.46
"94","437",18.69,21.9
"95","438",18.96,18.28
"96","439",18.83,14.23
"97","44",18.63,22.97
"98","440",19.17,17.51
"99","449",19.49,20.3
"100","450",18.87,26.22
"101","451",19.1,26.97
"102","452",20.03,27.43
"103","461",17.85,25.38
"104","462",18.66,25.66
"105","463",19.56,26.56
"106","464",19.85,28.61
"107","473",20.61,28.89
"108","474",18.85,27.26
"109","475",17.23,25.88
"110","476",18.37,26.22
"111","485",19.36,27.73
"112","486",19.35,27.16
"113","487",18.93,26.68
"114","488",20.04,27.9
"115","497",20.45,28.56
"116","53",18.67,25.89
"117","54",19.48,25.75
"118","55",19.76,24.83
"119","56",16.78,22.37
"120","6",18.63,25.78
"121","7",19.25,21.43
"122","716",20.4,29.31
"123","725",20.2,29.32
"124","726",20.06,29.12
"125","727",19.3,28.16
"126","728",21.21,28.18
"127","737",19.44,27.71
"128","740",20.22,28.38
"129","749",19.46,27.52
"130","750",20.58,29.21
"131","751",19.47,27.16
"132","752",19.12,26.97
"133","761",19.88,27.84
"134","762",20.08,24.63
"135","763",19.95,27.5
"136","764",19.4,26.66
"137","77",22.26,45
"138","773",19.13,27.56
"139","774",19.4,28.24
"140","775",20.48,29.59
"141","78",17.78,23.19
"142","785",20.52,28.52
"143","786",19.49,26.89
"144","787",22.36,31.21
"145","788",18.97,27.16
"146","79",18.66,22.26
"147","797",19.88,28.48
"148","798",19.77,27.88
"149","799",18.9,27.55
"150","8",18.87,25.08
"151","80",19.59,23.83
"152","800",19.35,27.32
"153","809",19.22,27.99
"154","810",19.73,26.44
"155","811",20.33,28.78
"156","812",19.64,24.94
"157","821",19.06,26.79
"158","822",18.96,27.55
"159","823",19.91,24.43
"160","824",18.75,25.82
"161","833",18.61,25.55
"162","834",19.84,25.27
"163","835",19.81,27.57
"164","836",19.12,26.51
"165","845",19.18,26.26
"166","846",18.27,26.42
"167","847",17.28,26.91
"168","848",18.63,26.62
"169","857",19.27,25.88
"170","858",18.7,26.01
"171","859",20.11,28.13
"172","860",20.07,28.48
"173","869",19.87,27.76
"174","870",18.68,28.36
"175","871",19.35,27.18
"176","872",19.55,28.77
"177","881",21.21,28.97
"178","882",22.14,31.09
"179","883",22.68,30.76
"180","884",29.81,33.46
"181","89",19.1,26.35
"182","893",18.88,27.96
"183","894",18.05,27.12
"184","895",19.27,27.68
"185","896",19.79,28.8
"186","9",19.97,26.08
"187","90",18.91,25.78
"188","905",19.67,26.81
"189","906",20.21,27.89
"190","907",20.51,28.5
"191","908",19.41,26.13
"192","91",19.85,23.88
"193","917",18.11,26.86
"194","918",19.21,28.01
"195","919",19.38,27.49
"196","92",19.5,24.6
"197","920",18.52,26.76
"198","929",18.74,26.79
"199","930",20.63,27.75
"200","931",20,28.54
"201","932",20.14,27.69
"202","953",18.36,26.19
"203","954",18.37,27.56
"204","955",17.76,27.37
"205","956",18.09,26.84
