"","plateID","reaction_type","unique_sampleID_number","starting_quantity","cpD1","Cycle_number","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"13","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","50",8.5,"C19","3424.09","3388.97","3383.99","3380.72","3377.28","3381.1","3379.12","3374.69","3380.64","3385.68","3391","3405.8","3422.91","3460.17","3513.23","3583.16","3661.03","3746.82","3829.83","3909.49","3982.63","4051.33","4118.81","4177.02","4237.66","4289.58","4344.05","4383.59","4428.66","4463.52","4497.04","4530.47","4551.3","4580.17","4603.18","4625.85","4643.53","4656.16","4671.96","4681.43"
"14","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","50",5.97,"C20","3513.14","3472.48","3470.06","3467.38","3465.22","3461.86","3465.59","3462.04","3462.54","3461.74","3474.81","3488.11","3516.96","3553.36","3613.36","3684.04","3777.7","3865.39","3960.21","4046.16","4122.26","4199.38","4276.85","4340.98","4398.32","4457.03","4511.14","4561.46","4598.9","4638.24","4678.55","4706.61","4737.98","4762.58","4793.26","4806.13","4828.09","4842.71","4859.64","4871.88"
"15","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","50",7.18,"C21","3498.63","3464.34","3459.15","3459.71","3455.03","3458.1","3459.11","3457.61","3459.91","3463.68","3469.52","3488.78","3509.88","3548.28","3606.48","3684.85","3770.86","3862.57","3952.86","4036.57","4121.95","4199.02","4267","4336.92","4398.08","4458.09","4519.68","4560.36","4606.87","4650.33","4681.88","4713.89","4748.93","4772.47","4804.09","4820.43","4838.29","4857.1","4875.03","4885.19"
"16","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","50",8.82,"C22","3621.46","3587.1","3582.51","3579.53","3580.79","3579.52","3575.93","3578.31","3581.45","3591.71","3604.29","3624.04","3666.03","3728.37","3813.75","3918.32","4028.11","4140.88","4245.6","4346.56","4439.42","4525.19","4604.67","4681.17","4751.57","4812.46","4871.83","4921.67","4974.62","5014.35","5054.48","5082.63","5117.96","5141.66","5172.43","5188.17","5211.2","5229.33","5242.57","5255.15"
"17","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","50",8.44,"C23","3597.89","3558.65","3558.13","3553.11","3554.79","3554.44","3553.8","3548.26","3556.51","3558.37","3574.49","3593.64","3634.16","3697.03","3778.27","3879.06","3983.95","4092.42","4192.48","4290.11","4379.85","4473.36","4557.75","4625.65","4691.41","4757.95","4819.29","4869.36","4918.48","4957.86","4993.95","5029.02","5059.22","5089.47","5113.63","5133.53","5155.7","5170.84","5187.66","5202.01"
"18","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","50",9.42,"C24","3640.95","3623.06","3626.25","3616.11","3614.18","3614.82","3609.46","3612.78","3614.32","3623.57","3636.02","3658.12","3705.33","3768.22","3857.93","3970.21","4088.05","4201.67","4321.71","4431.53","4531.58","4642.16","4728.31","4811.28","4887.11","4952.21","5021.11","5077.29","5128.16","5168.35","5212.88","5250.62","5278.63","5309.56","5334.84","5358.43","5378.9","5402.02","5414.35","5425.8"
"19","2018_9_3_plate","test1","gblock+IRE_plus18IRE","10",7.97,"E16","3478.22","3444.54","3439.47","3440.27","3440.1","3436.92","3439.17","3431.81","3435.94","3431.47","3434.1","3437.34","3436.78","3456.93","3478.46","3521.46","3581.68","3663.98","3755.22","3861.35","3953.06","4046.34","4133.01","4207.79","4280.25","4342.78","4411.05","4469.24","4522.88","4563.34","4604.9","4638.23","4671.83","4702.9","4733.26","4752.37","4775.79","4793.03","4811.92","4827.6"
"20","2018_9_3_plate","test1","gblock+IRE_plus18IRE","10",7.83,"E17","3447.45","3415.43","3410.77","3410.55","3408.94","3407.46","3406.8","3407","3401.49","3401.77","3402.85","3407.63","3408.83","3423.53","3449.27","3488.85","3547.65","3634.51","3723.95","3820.72","3914.07","4005.68","4085.36","4157.01","4232.54","4299.43","4358.48","4409.32","4460.48","4505.84","4549.62","4581.6","4614.02","4644.66","4668.05","4694.95","4709.68","4731.81","4747.66","4760.47"
"21","2018_9_3_plate","test1","gblock+IRE_plus18IRE","10",7.41,"E18","3469.73","3436.81","3430.77","3428","3427.81","3427.47","3425.09","3425.93","3426.32","3425.36","3423.74","3430.99","3436.46","3446.02","3470.96","3513.7","3577.68","3661.89","3753.7","3854.19","3952.23","4039.49","4126.6","4201.91","4278.34","4342.18","4405.34","4459.64","4511.69","4552.73","4596.08","4635.73","4669.13","4701.45","4725.83","4753.75","4772.03","4787.85","4810.4","4819.67"
"22","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","10",8.04,"E19","3469.3","3435.64","3429.45","3422.73","3427.48","3424.3","3425.3","3421.2","3422.01","3420.32","3420.11","3427.54","3426.93","3431.15","3443.6","3470.97","3508.65","3562.69","3636.44","3721.32","3810.1","3898.32","3980.46","4060.86","4134.6","4202.21","4274.1","4330.14","4390.64","4445.04","4490.46","4535.58","4571.39","4612.63","4639.5","4669.32","4695.9","4718.65","4738.5","4759.69"
